customer_id,first_name,last_name,phone,email
1,Stanisław,Puchalski,451491634,Stanislaw.Puc@interia.pl
2,Inga,Wysocka,782370041,Wysocka.In@wp.pl
3,Leon,Stasik,603017148,Leon8885@gmail.com
4,Magdalena,Szkurłat,454919744,Szkurlat.Ma@wp.pl
5,Oskar,Pilot,457698695,OskarPilot@onet.pl
6,Sara,Pawłowska,535957910,Pawlowska.Sara@wp.pl
7,Maksymilian,Kaja,883148965,MaksymilianKaja@interia.pl
8,Agata,Topór,604331611,Agata1535@interia.pl
9,Adam,Kiełbasa,784921112,Kielbasa.Adam@interia.pl
10,Maria,Mucha,513357584,Maria.Much@wp.pl
11,Oskar,Kowalczyk,697618708,Oskar.Kowalczyk@o2.pl
12,Zoia,Wadelska,794887304,ZoiaWadelska@gmail.com
13,Agata,Krzyszczuk,454257230,Agata.Krzyszczuk@gmail.com
14,Emanuel,Supłatowicz,881347365,Suplatowicz9494@interia.pl
15,Blanka,Młynarczyk,732778234,Mlynarczyk.Bla@gmail.com
16,Ignacy,Adamczak,785354444,Ignacy.Adam@wp.pl
17,Kornelia,Włoczysiak,693917715,WloczysiakKornelia@onet.pl
18,Ignacy,Pietrasik,728112010,Pietrasik.Ignacy@gmail.com
19,Maja,Szymańska,533239094,Szymanska8923@wp.pl
20,Luna,Krawczyk,727873476,Krawczyk6236@o2.pl
21,Anastazja,Machnik,796343551,AnastazjaMachnik@wp.pl
22,Wanda,Jadwidzic,785791090,Wanda4390@interia.pl
23,Jan,Kwik,725862703,Jan.Kwik@wp.pl
24,Jan,Firlit,786369092,Firlit.Jan@wp.pl
25,Gabriela,Pawlak,576192159,Pawlak9490@onet.pl
26,Tola,Staniszewska,888708348,Staniszewska.Tola@interia.pl
27,Wiktor,Dąbrowski,514391230,Wiktor.Dabrowski@gmail.com
28,Sebastian,Karpiński,798271118,Karpinski.Sebastian@wp.pl
29,Tymon,Putała,882490405,PutalaTymon@o2.pl
30,Kuba,Kwiecień,732815513,Kwiecien.Kuba@gmail.com
31,Marcel,Bielawa,457026210,Bielawa3923@wp.pl
32,Nela,Sabura,533433552,SaburaNela@o2.pl
33,Iga,Soroko,722579658,Iga6302@gmail.com
34,Helena,Sawicka,451581833,Sawicka.Helena@gmail.com
35,Lilianna,Fesz,695502907,LiliannaFesz@o2.pl
36,Michał,Kijek,736006497,KijekMichal@wp.pl
37,Maria,Bińkowska,781195779,Maria.Bink@wp.pl
38,Tymon,Organek,574673623,Organek6987@gmail.com
39,Amelia,Chmielewska,537389592,Amelia.Chmielewska@wp.pl
40,Diana,Płońska,693752923,Diana.Plo@wp.pl
41,Gabriela,Kwiatkowska,571463107,Gabriela240@gmail.com
42,Iga,Buczkowska,572477905,Buczkowska.Iga@gmail.com
43,Danuta,Ostachowska,518479152,Ostachowska.Danuta@gmail.com
44,Kaja,Poździk,508075835,Pozdzik.Kaj@onet.pl
45,Dorian,Sender,508044879,Dorian.Send@gmail.com
